,,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,CPSC2018,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,PTB-XL,ARR10000,ARR10000,ARR10000,ARR10000,arr10000,ARR10000,ARR10000,ARR10000,ARR10000,arr10000,ARR10000,ARR10000,ARR10000,ARR10000,arr10000,ARR10000,ARR10000,ARR10000,ARR10000,arr10000,ARR10000,ARR10000,ARR10000,ARR10000
,,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
,,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train
,,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all,N,SVEB,VEB,all
CNN,windows2.5s,0.6055,0.5722,0.6849,0.6209,0.6169,0.5676,0.7025,0.629,0.6229,0.5702,0.7049,0.6327,0.8339,0,0,0.278,0.8344,0,0.0061,0.2802,0.8347,0,0.0077,0.2808,0.5034,0.5206,0.4666,0.4969,0.4914,0.5096,0.4559,0.4857,0.4933,0.5145,0.4604,0.4894,0.9583,0,0,0.3194,0.9583,0,0,0.3194,0.9583,0,0.0004,0.3196,0.5392,0.5312,0.5446,0.5383,0.5136,0.514,0.5245,0.5173,0.5926,0.5885,0.6074,0.5962,0.9602,0,0,0.3201,0.9605,0,0.0076,0.3227,0.96,0,0.0179,0.326
CNN,sequence10s,0.5631,0.5803,0.6355,0.593,0.5896,0.5665,0.6817,0.6126,0.7099,0.7066,0.7652,0.7272,0.8316,0.0071,0.1122,0.317,0.8326,0,0.1282,0.3202,0.8448,0.0229,0.2618,0.3765,0.5211,0.522,0.5092,0.5174,0.5247,0.5253,0.5064,0.5188,0.5543,0.5399,0.5417,0.5453,0.9583,0,0,0.3194,0.9582,0,0,0.3194,0.9583,0,0.0011,0.3198,0.514,0.5071,0.5091,0.5101,0.5066,0.5113,0.5378,0.5186,0.6447,0.6807,0.6472,0.6575,0.9473,0.0436,0.0257,0.3389,0.9482,0.0124,0.0392,0.3333,0.9644,0.2041,0.3227,0.4971
GRUAttNet,windows2.5s,0.883,0.8054,0.8878,0.8587,0.8945,0.8331,0.8855,0.871,0.9222,0.857,0.923,0.9007,0.8716,0.4163,0.559,0.6156,0.8779,0.4718,0.5525,0.634,0.8957,0.5272,0.6458,0.6896,0.9574,0.87,0.9782,0.9352,0.9568,0.8792,0.9771,0.9377,0.9697,0.9047,0.9833,0.9526,0.9666,0.0675,0.5457,0.5266,0.9674,0.0795,0.5632,0.5367,0.971,0.0947,0.6108,0.5588,0.8675,0.771,0.9597,0.8661,0.8864,0.8098,0.9545,0.8836,0.9108,0.8529,0.9656,0.9098,0.9655,0.0152,0.4499,0.4768,0.9653,0.0232,0.4787,0.4891,0.9666,0.0564,0.4595,0.4942
GRUAttNet,sequence10s,0.9142,0.8655,0.9085,0.8961,0.9176,0.8681,0.9263,0.904,0.9343,0.8933,0.9321,0.9199,0.9155,0.6016,0.7633,0.7601,0.9162,0.5816,0.7608,0.7529,0.9211,0.6236,0.7691,0.7713,0.9599,0.9074,0.9893,0.9522,0.9641,0.909,0.9903,0.9545,0.9708,0.9354,0.993,0.9664,0.966,0.1982,0.6818,0.6153,0.9676,0.2599,0.6754,0.6343,0.9695,0.2639,0.7041,0.6458,0.8665,0.7796,0.95,0.8654,0.8679,0.7844,0.9446,0.8656,0.9115,0.8399,0.9724,0.9079,0.9702,0.0235,0.658,0.5506,0.9719,0.0532,0.7377,0.5876,0.9736,0.063,0.7507,0.5958
ResNet,windows2.5s,0.8392,0.7695,0.8059,0.8049,0.8626,0.7885,0.8153,0.8221,0.9119,0.8733,0.8946,0.8933,0.8242,0.3869,0.5259,0.579,0.8412,0.3855,0.5247,0.5838,0.8707,0.5427,0.6594,0.6909,0.9489,0.8371,0.9675,0.9178,0.9482,0.8348,0.9674,0.9168,0.9708,0.8854,0.9818,0.946,0.9657,0.1207,0.5405,0.5423,0.9666,0.1371,0.5426,0.5488,0.9739,0.2703,0.6597,0.6346,0.7941,0.7541,0.8543,0.8008,0.7987,0.7569,0.8484,0.8013,0.8847,0.8643,0.9276,0.8922,0.9617,0.1363,0.3811,0.493,0.9627,0.1595,0.3985,0.5069,0.9696,0.3202,0.522,0.6039
ResNet,sequence10s,0.8612,0.7947,0.8643,0.8401,0.8712,0.7962,0.8976,0.855,0.9322,0.8812,0.9304,0.9146,0.8728,0.4127,0.6345,0.64,0.8749,0.364,0.6787,0.6392,0.9094,0.5669,0.7605,0.7456,0.9403,0.8152,0.9596,0.9051,0.9436,0.8156,0.9631,0.9074,0.9765,0.8937,0.9856,0.9519,0.9677,0.1365,0.6508,0.585,0.967,0.2122,0.6301,0.6031,0.9779,0.4599,0.758,0.7319,0.8179,0.7677,0.9046,0.8301,0.8322,0.7781,0.9107,0.8403,0.9105,0.8714,0.9568,0.9129,0.9627,0.0709,0.4119,0.4818,0.9664,0.1111,0.5485,0.542,0.9707,0.2356,0.6109,0.6057
RTA-CNN,windows2.5s,0.8875,0.8158,0.9016,0.8683,0.8887,0.8153,0.9125,0.8722,0.9697,0.9105,0.9648,0.9483,0.8678,0.3718,0.5181,0.5859,0.8761,0.4061,0.5546,0.6123,0.9365,0.7082,0.775,0.8066,0.8841,0.7729,0.9321,0.863,0.886,0.7778,0.9346,0.8661,0.9049,0.7823,0.9446,0.8773,0.9655,0,0.5172,0.4942,0.9647,0,0.4963,0.487,0.972,0,0.6307,0.5342,0.5253,0.5643,0.5394,0.543,0.5471,0.5607,0.5548,0.5542,0.536,0.5717,0.5357,0.5478,0.9596,0,0,0.3199,0.9599,0,0,0.32,0.96,0,0,0.32
RTA-CNN,sequence10s,0.8528,0.7952,0.9058,0.8513,0.861,0.8,0.9046,0.8552,0.9414,0.8948,0.9442,0.9268,0.8985,0.3874,0.7188,0.6682,0.9009,0.4049,0.6921,0.666,0.9418,0.6357,0.8226,0.8,0.4982,0.5443,0.4361,0.4929,0.4993,0.5432,0.4415,0.4947,0.4962,0.5453,0.4428,0.4948,0.9583,0,0,0.3194,0.9583,0,0,0.3194,0.9583,0,0,0.3194,0.5035,0.58,0.5451,0.5429,0.5055,0.5771,0.5342,0.5389,0.5094,0.5681,0.5537,0.5437,0.9609,0,0,0.3203,0.9596,0,0,0.3199,0.9599,0,0,0.32
