,,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AR,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,MIT-BIH-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB,LT-AFIB
,,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1,F1
,,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train,test,test,test,test,val,val,val,val,train,train,train,train
,,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all,SINUS,AFIB,OTHR,all
CNN,windows2.5s,0.606,0.6946,0.409,0.6414,0.6257,0.6542,0.4032,0.6322,0.6871,0.6927,0.6918,0.6905,0.873,0.0062,0.0578,0.3123,0.8857,0.0426,0.0763,0.3349,0.8923,0.1291,0.1728,0.398,0.522,0.5456,0.3259,0.5413,0.635,0.6491,0.237,0.5969,0.7743,0.7307,0.6233,0.7094,0.7467,0.3403,0,0.3623,0.8254,0.4806,0,0.4354,0.8718,0.5877,0.1509,0.5368,0.9381,0.9339,0.8747,0.9156,0.9421,0.945,0.8897,0.9256,0.9734,0.9823,0.9349,0.9635,0.8638,0.8936,0.5312,0.7629,0.8837,0.914,0.6426,0.8134,0.9466,0.9638,0.7388,0.8831
CNN,windows10s,0.5201,0.591,0.3338,0.5441,0.5684,0.6019,0.3663,0.5804,0.6187,0.6478,0.5696,0.6121,0.888,0,0,0.296,0.8879,0,0,0.296,0.8881,0.0003,0.0036,0.2973,0.4387,0.591,0.1742,0.4688,0.5379,0.5882,0.182,0.5254,0.6126,0.6059,0.526,0.5815,0.7739,0.1858,0,0.3199,0.8304,0.2531,0,0.3611,0.8314,0.237,0,0.3561,0.8997,0.8993,0.7894,0.8628,0.8843,0.9198,0.8053,0.8698,0.9577,0.9441,0.9333,0.945,0.8319,0.8552,0.4479,0.7117,0.8461,0.8781,0.5025,0.7422,0.9207,0.9376,0.6925,0.8503
GRUAttNet,windows2.5s,0.6273,0.6174,0.4721,0.6544,0.6233,0.7062,0.5286,0.6833,0.8094,0.7718,0.8123,0.7978,0.8156,0.1006,0.1707,0.3623,0.824,0.3687,0.2413,0.478,0.8881,0.4779,0.4177,0.5945,0.8543,0.8347,0.281,0.7737,0.7806,0.8061,0.3951,0.7759,0.9017,0.9085,0.6687,0.8263,0.727,0.5998,0,0.4423,0.8068,0.6291,0.1609,0.5323,0.9014,0.7861,0.1911,0.6262,0.9801,0.9814,0.9382,0.9666,0.986,0.9875,0.9367,0.9701,0.9969,0.9983,0.979,0.9914,0.9235,0.9383,0.6331,0.8316,0.944,0.9604,0.7269,0.8771,0.9756,0.9896,0.7742,0.9131
GRUAttNet,windows10s,0.6247,0.6426,0.5519,0.6865,0.7527,0.5992,0.5603,0.7141,0.8259,0.8032,0.8152,0.8148,0.8202,0.0684,0.2892,0.3926,0.8617,0.1186,0.3448,0.4417,0.8919,0.3758,0.3869,0.5515,0.7013,0.6856,0.3123,0.6503,0.6391,0.59,0.333,0.6154,0.8477,0.8364,0.6018,0.762,0.5765,0.4943,0.1507,0.4072,0.6264,0.4957,0,0.374,0.7856,0.6659,0.1319,0.5278,0.9781,0.9786,0.8519,0.9362,0.9653,0.9685,0.8565,0.9301,0.9818,0.9838,0.9214,0.9623,0.9128,0.9371,0.4013,0.7504,0.9253,0.9469,0.6493,0.8405,0.95,0.9679,0.7223,0.88
ResNet,windows2.5s,0.687,0.7785,0.4437,0.7119,0.8016,0.8077,0.5062,0.7871,0.9249,0.9495,0.9206,0.9317,0.8617,0.4628,0.0911,0.4719,0.9058,0.5464,0.1442,0.5322,0.9459,0.7485,0.6032,0.7658,0.922,0.9008,0.4941,0.8945,0.9397,0.9337,0.4965,0.9192,0.9961,0.9954,0.9858,0.9925,0.8333,0.6827,0.0998,0.5386,0.901,0.7746,0.0257,0.5671,0.9851,0.9636,0.8131,0.9206,0.9884,0.9887,0.9496,0.9756,0.9901,0.9905,0.9624,0.981,0.999,0.9996,0.9951,0.9979,0.9378,0.9581,0.6761,0.8573,0.9461,0.9638,0.697,0.8689,0.9839,0.9942,0.8466,0.9416
ResNet,windows10s,0.7718,0.8052,0.507,0.7753,0.7983,0.829,0.5327,0.8095,0.8889,0.9136,0.8876,0.8967,0.9015,0.4149,0.1053,0.4739,0.9048,0.5311,0.0959,0.5106,0.9302,0.5874,0.5518,0.6898,0.8625,0.856,0.5052,0.8447,0.9495,0.9445,0.4274,0.9024,0.9848,0.9835,0.9125,0.9603,0.7589,0.6132,0.0218,0.4646,0.9259,0.8338,0.0054,0.5884,0.9687,0.9256,0.6956,0.8633,0.988,0.9887,0.9556,0.9774,0.9905,0.9914,0.9322,0.9713,0.9994,0.9998,0.9961,0.9984,0.9453,0.9686,0.578,0.8307,0.9565,0.9746,0.7519,0.8943,0.9877,0.9957,0.8776,0.9537
RTA-CNN,windows2.5s,0.7347,0.8033,0.4227,0.7301,0.7307,0.7836,0.4341,0.7182,0.881,0.887,0.7973,0.8551,0.8665,0.1452,0.0009,0.3376,0.9006,0.4746,0.0024,0.4592,0.9027,0.2588,0.0004,0.3873,0.7581,0.7027,0.1509,0.6187,0.8021,0.7913,0.2965,0.7489,0.9396,0.9366,0.5631,0.8131,0.7537,0.4783,0,0.4107,0.8675,0.7282,0,0.5319,0.9222,0.7837,0,0.5686,0.9701,0.9561,0.9017,0.9426,0.9645,0.9635,0.9078,0.9453,0.9929,0.9959,0.9629,0.9839,0.9155,0.9392,0.6601,0.8383,0.9229,0.9435,0.6795,0.8486,0.9852,0.9932,0.8705,0.9496
RTA-CNN,windows10s,0.6976,0.7509,0.4124,0.6889,0.7098,0.7442,0.4265,0.6994,0.773,0.7792,0.714,0.7554,0.8878,0,0,0.2959,0.8878,0,0,0.2959,0.8878,0,0,0.2959,0.6698,0.611,0.3501,0.6038,0.8231,0.7983,0.4698,0.7897,0.8749,0.8689,0.6165,0.7868,0.7277,0.4138,0,0.3805,0.8583,0.7137,0,0.524,0.852,0.5501,0,0.4674,0.9436,0.9478,0.8983,0.9299,0.9689,0.967,0.8901,0.942,0.9937,0.9976,0.964,0.9851,0.8904,0.9117,0.437,0.7464,0.926,0.9443,0.7348,0.8684,0.9799,0.9896,0.7664,0.912
